trip_id,driver_id,date,start_time,end_time,duration_min,distance_km,fare,surge_multiplier,pickup_location,dropoff_location,trip_status
TRIP001,DRV107,2024-02-06,06:45:00,07:03:00,18,8.2,145,1.0,Andheri West,BKC,completed
TRIP002,DRV188,2024-02-06,07:15:00,07:38:00,23,12.4,220,1.2,BKC,Lower Parel,completed
TRIP003,DRV003,2024-02-06,07:52:00,08:15:00,23,9.8,175,1.0,Worli,Bandra,completed
TRIP004,DRV210,2024-02-06,08:28:00,08:52:00,24,11.2,198,1.0,Bandra,Powai,completed
TRIP005,DRV206,2024-02-06,09:15:00,09:42:00,27,14.5,258,1.3,Powai,Goregaon,completed
TRIP006,DRV077,2024-02-06,10:05:00,10:28:00,23,10.1,182,1.0,Goregaon,Andheri,completed
TRIP007,DRV095,2024-02-06,10:48:00,11:15:00,27,13.8,245,1.0,Andheri,Malad,completed
TRIP008,DRV050,2024-02-06,17:30:00,17:58:00,28,15.2,312,1.5,Whitefield,Indiranagar,completed
TRIP009,DRV070,2024-02-06,18:15:00,18:42:00,27,12.8,268,1.4,Indiranagar,Koramangala,completed
TRIP010,DRV145,2024-02-06,19:05:00,19:35:00,30,16.5,345,1.6,Koramangala,Electronic City,completed
TRIP011,DRV112,2024-02-06,08:00:00,08:32:00,32,18.7,385,1.2,Dwarka,Connaught Place,completed
TRIP012,DRV042,2024-02-06,08:50:00,09:18:00,28,14.2,295,1.0,CP,Gurgaon Cyber City,completed
TRIP013,DRV096,2024-02-06,09:45:00,10:22:00,37,22.5,468,1.3,Cyber City,South Delhi,completed
TRIP014,DRV032,2024-02-06,06:30:00,06:52:00,22,9.5,168,1.0,Kharadi,Viman Nagar,completed
TRIP015,DRV111,2024-02-06,07:10:00,07:38:00,28,13.2,235,1.0,Viman Nagar,Hinjewadi,completed
TRIP016,DRV067,2024-02-06,14:00:00,14:28:00,28,12.8,228,1.0,Banjara Hills,Hitec City,completed
TRIP017,DRV144,2024-02-06,14:52:00,15:25:00,33,16.2,318,1.2,Hitec City,Secunderabad,completed
TRIP018,DRV161,2024-02-06,18:00:00,18:32:00,32,14.5,298,1.4,Colaba,Andheri,completed
TRIP019,DRV045,2024-02-06,19:05:00,19:38:00,33,15.8,335,1.5,Andheri,BKC,completed
